id,name,descriptions,quantitiy,category,image
1,Hydrochloric Acid,"A corrosive chemical widely used in industrial processes, laboratory applications, and water treatment. It is known for its strong acidic properties and is handled with caution due to its corrosiveness",31,Chemical,"https://m.media-amazon.com/images/I/71BO4sJaFQL._AC_UF1000,1000_QL80_.jpg"
2,Isopropyl Alcohol,"A versatile solvent commonly used for cleaning and disinfecting surfaces, medical equipment, and electronic components. It evaporates quickly and leaves no residue, making it suitable for various applications.",20,Chemical,https://m.media-amazon.com/images/I/51OjplH3hoL.jpg
3,Sodium Chloride,"Commonly known as table salt, sodium chloride has diverse applications, including in pharmaceuticals, food processing, and chemical industries. It is used for saline solutions, electrolyte replenishment, and as a raw material in various processes.",20,Chemical,https://m.media-amazon.com/images/I/61H6tMEDuoL.jpg
4,Aluminum Alloy,"A lightweight and corrosion-resistant metal alloy composed primarily of aluminum, commonly used in aerospace, automotive, and construction industries for its strength-to-weight ratio and durability.",124,Metal,https://images.prismic.io/xometry-marketing/9c31571b-0063-4aab-bcd9-f69568ad0a21_aluminum-alloy-rods.jpg?auto=compress%2Cformat&rect=173%2C0%2C655%2C655&w=486&h=486&fit=max
5,Stainless Steel,"An iron-based alloy containing chromium and nickel, known for its corrosion resistance and strength. Type 304 stainless steel is widely used in kitchen appliances, construction, and medical equipment.",77,Metal,https://polishedmetals.com/wp-content/uploads/2020/09/Stainless-Steel-shutterstock_661808035.jpg
6,Copper Wire,"A highly conductive metal used in electrical wiring and electronics. Its malleability and conductivity make it suitable for various applications, including power transmission, telecommunications, and electronics manufacturing.",130,Metal,https://images.thdstatic.com/productImages/3f9a8f81-b3d8-4af2-941d-fd60a84377a4/svn/metallics-ook-wire-rope-50161-64_1000.jpg
7,Cotton Fabric,"A natural fiber derived from the cotton plant, used in the textile industry to produce clothing, bedding, and various other products. Cotton is valued for its softness, breathability, and versatility.",50,Organic Product,https://fabricwholesaledirect.com/cdn/shop/products/CottonSheeting118_-White1.jpg?v=1612468115
8,Organic Fertilizer,"A natural soil amendment made from decomposed organic matter. Compost enriches soil fertility, enhances water retention, and promotes healthier plant growth in agriculture and gardening.",34,Organic Product,"https://m.media-amazon.com/images/I/61gvcvZgosL._AC_UF894,1000_QL80_.jpg"
9,Natural Essential Oils,"Extracted from lavender flowers, this organic product is used in aromatherapy, personal care products, and natural remedies. Lavender essential oil is known for its calming and soothing properties.",4,Organic Product,https://m.media-amazon.com/images/I/71e2KBOVlNL.jpg
10,Microcontrollers (Arduino Uno),"A compact programmable device used in electronic systems for control and automation. The Arduino Uno, for example, is widely used for prototyping and DIY electronics projects.",10,Electronic,https://store.arduino.cc/cdn/shop/products/A000066_03.front_934x700.jpg?v=1629815860
11,LED,"A semiconductor device that emits light when an electric current passes through it. LEDs are used for energy-efficient lighting, electronic displays, and indicators in various electronic devices.",100,Electronic,https://upload.wikimedia.org/wikipedia/commons/2/21/3_color_LEDs.jpg
12,Printed Circuit Board,"A crucial component in electronic manufacturing, PCBs provide a platform for mounting and connecting electronic components. They are used in computers, smartphones, and a wide range of electronic devices.",100,Electronic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/SEG_DVD_430_-_Printed_circuit_board-4276.jpg/1200px-SEG_DVD_430_-_Printed_circuit_board-4276.jpg
13,Canvas Work Pants,"Sturdy and durable, canvas work pants are designed for rugged use in construction, manufacturing, and other labor-intensive industries. They often feature reinforced knees and multiple pockets for tools.",125,Textile And Apparel,https://heritagequalitygoods.com/cdn/shop/products/Resized_20221108_000044_800x.jpg?v=1668199121
14,Steel-Toe Boots,"Heavy-duty work footwear with a reinforced toe cap to protect against impact and compression hazards. Steel-toe boots are common in construction, manufacturing, and warehouse environments for foot safety.",32,Textile And Apparel,https://www.safgard.com/images/products/stma1w6b-profile.jpg
15,Hard Hat,A protective headgear worn in construction sites and industrial settings to safeguard against falling objects and head injuries. Hard hats are a crucial part of personal protective equipment (PPE) in hazardous work environments.,200,Textile And Apparel,https://images.thdstatic.com/productImages/7d8bf817-b33c-44cb-a87b-337a6c7b8d39/svn/yellow-milwaukee-hard-hats-48-73-1102-64_1000.jpg
16,Surgical Masks,Disposable protective masks worn by healthcare professionals and the public to reduce the spread of germs and protect against airborne particles during medical procedures or daily activities.,4,Medical,https://wisconsinmedicalsupplies.com/wp-content/uploads/2021/01/1_IMG_7075-squarespace-thumbnail-border.jpg
17,Blood Pressure Monitor,"A medical device that measures blood pressure levels, consisting of an inflatable cuff to wrap around the arm and a gauge or digital display to provide accurate readings.",25,Medical,https://pics.walgreens.com/prodimg/618151/450.jpg
18,Sterile Gauze Pads,"Soft, absorbent medical pads used for wound dressing and protection. Sterile gauze helps prevent infection and promotes healing by maintaining a clean environment around injuries.",4,Medical,https://m.media-amazon.com/images/I/61g6eIsXVpL.jpg
